group,Canais | Globo Sudeste
ext,Globo SP HD [Alter],http://hls1.sua.tv:80/live/globosphd/s.m3u8
ext,Globo SP HD [Alter],http://hls1.sua.tv:80/live/globosphd/s.m3u8

group,Canais |  Abertos
ext,Olha TV,https://5cf4a2c2512a2.streamlock.net/8272/8272/chunklist.m3u8
CanaldoBoi.br,Canal do Boi SD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/141
ext,Canal Rural HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/84036
ext,TV Cultura HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/149
Futura.br,Futura HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/158
ext,REDE MINAS,https://8hzcavccys.zoeweb.tv/redeminas/ngrp:redeminas_all/playlist.m3u8
Tvbrasil.br,TV Brasil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/165
ext,TV Gazeta SP HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/174
ext,Olha TV,https://5cf4a2c2512a2.streamlock.net/8272/8272/chunklist.m3u8
CanaldoBoi.br,Canal do Boi SD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/141
ext,Canal Rural HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/84036
ext,TV Cultura HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/149
Futura.br,Futura HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/158
ext,REDE MINAS,https://8hzcavccys.zoeweb.tv/redeminas/ngrp:redeminas_all/playlist.m3u8
Redetv.br,Rede TV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/80172
Tvbrasil.br,TV Brasil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/165
ext,TV Gazeta SP HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/174

group,Canais | ESPN
ext,ESPN HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/209
ext,ESPN2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/214
ext,ESPN3 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/219
ext,ESPN HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/209
ext,ESPN2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/214
ext,ESPN3 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/219
ext,ESPN4 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/224
ext,ESPN Extra² HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/229

group,Canais | Filmes & Series
ext,AMC HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/670
ext,TNT Novelas  HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/264556
ext,A&E HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/665
ext,AXN HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/675
Canalbrasil.br,Canal Brasil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/145
ext,Canal Sony HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/701
ext,Cinemax HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/681
ext,Comedy Central HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/686
ext,Megapix HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/691
ext,Paramount Network HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21265
ext,TNT Series HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/737
Universalchannel.br,Universal TV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21288
ext,Warner Channel HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21291
ext,Tv Gallo,https://5c483b9d1019c.streamlock.net/8202/8202/playlist.m3u8
ext,AMC HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/670
ext,TNT Novelas  HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/264556
ext,A&E HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/665
ext,AXN HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/675
Canalbrasil.br,Canal Brasil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/145
ext,Canal Sony HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/701
ext,Cinemax HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/681
ext,Comedy Central HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/686
ext,Megapix HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/691
ext,Paramount Network HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21265
ext,Space HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/706
ext,Cine Canal HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/601
ext,Studio Universal HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21276
ext,SYFY HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/717
ext,TBS HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/722
ext,TLC HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/727
ext,TNT HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21285
ext,TNT Series HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/737
Universalchannel.br,Universal TV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21288
ext,Warner Channel HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21291
ext,Tv Gallo,https://5c483b9d1019c.streamlock.net/8202/8202/playlist.m3u8

group,Canais | SporTV
ext,SporTV FHD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/52090
ext,SPORTV HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/548
ext,SporTV 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/553
ext,SporTV  2 SD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118704
ext,SporTV 3 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/558
ext,SporTV 3 SD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118706
ext,SporTV FHD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/52090
ext,SPORTV HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/548
ext,SporTV 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/553
ext,SporTV  2 SD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118704
ext,SporTV 3 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/558
ext,SporTV 3 SD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118706

group,Canais | Documentarios
ext,Animal Planet HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2601
ext,Arte 1 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2606
ext,HGTV HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2626
H2.uk,History 2 HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2620
ext,History HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2616
ext,ID HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2631
ext,National Geographic HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2636
TruTV.uk,Tru TV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2640
ext,Animal Planet HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2601
ext,Arte 1 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2606
ext,Curta! HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2611
ext,HGTV HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2626
H2.uk,History 2 HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2620
ext,History HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2616
ext,ID HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2631
ext,National Geographic HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2636
TruTV.uk,Tru TV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2640

group,Canais | Noticias
ext,Band News HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/468
ext,CNN Brasil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/472
Globonewshd.br,GloboNews HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/478
ext,Jovem Pan News HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118890
ext,Record News HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/487
ext,Band News HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/468
ext,CNN Brasil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/472
Globonewshd.br,GloboNews HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/478
ext,Jovem Pan News HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118890
ext,Record News HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/487

group,Canais | Esportes
ext,Band Sports HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/234
ext,Combate HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/239
